FECHA,OPCION_1,OPCION_2,POSTRE
2026-08-03,OMELLETE DE JAMON Y QUESO / POLLO AL HORNO / SALSA DE PUERRO / CON PAPAS Y CALBAZAS AL HORNO,CHAW MEIN / (tallarines salteados con vegetales y salsa de soja),DURAZNO EL ALMIBAR
2026-08-04,HUEVOS RELLENOS / CARNE AL HORNO CON SALSA PORTUGUESA / Y ARROZ GRANEADO,ROLLS DE PESCADO / ACELGA A LA CREMA,BIZCOCHUELO CASERO DE MANZANA
2026-08-05,"CROQUETA DE ARROZ / ÑOQUIS ,MOSTACHOL,SPAGUETIS / SALSA ROJA,BLANCA,PARISIENE",BONDIOLA BRASEADA / PURE DE BATATAS,ENSALADA DE FRUTA
2026-08-06,"SOPA CREMA DE ZAPALLO / TACOS MEXICANOS / (dados de carne, de pollo, juliana de verduras) / PAPAS CON CHEDDAR",MILANESA DE SOJA NAPOLITANA / TORTILLA DE VERDURAS,FLAN DE VAINILLA
2026-08-07,BUÑUELITOS ACELGA / MILANESA DE TERNERA / PURE DE PAPAS Y CALABAZA,CAZUELA / DE LENTEJAS,GELATINA
2026-08-10,SOPA DE VERDURAS / CARNE AL HORNO / SALSA DEMIGLACE / PAPAS Y BATATAS EN CUBOS,"CHAWFAN,ARROZCON / VEGETALES Y SALSA DE SOJA",ALFAJORCITOS DE MAICENA
2026-08-11,"EMPANADAS DE JAMON Y QUESO / RAVIOLES, FUSSILES, TAGLIATELLIS / SALSAS TUCO, BLANCA Y ROSA",CARRÉ DE CERDO MECHADO / CON ZANAHORIAS GLASEADAS,QUESO Y DULCE
2026-08-12,EMI,,
2026-08-13,VITEL TONNE / POLLO AL HORNO / ARROZ GRANEADO,BROCHETTE DE TERNERA / CON WOK DE VERDURAS,FLAN DE VAINILLA
2026-08-14,SOPA CREMA DE VERDURAS / MILANESAS DE CARNE Y NAPOLITANAS / PURÉ MIXTO,ROLLS DE PESCADO / ACELGA A LA CREMA,GELATINA
2026-08-17,FERIADO,,
2026-08-18,"SOPA CREMA DE ZAPALLO / SORRENTINOS, TIRABUZONES, FIDEOS / SALSAS TUCO, PARISIEN, ROSA",MILANESA DE BERENJENAS A LA NAPOLITANA / JULIANA DE VERDURAS,DURAZNOS EN ALMIBAR
2026-08-19,BUÑUELITOS DE ACELGA / MILANESA DE TERNERA / PURÉ MIXTO,CARRÉ DE CERDO MECHADO / CON BOÑATO Y ZANAHORIAS,ENSALADA DE FRUTAS
2026-08-21,HUEVOS RELLENOS / POLLO AL HORNO / CON ARROZ AL OLEO Y AZAFRANADO,BROCHETE DE CARNE / RUEDAS DE CALABAZA,GELATINA
2026-08-22,OMELETTE CEBOLLA Y QUESO / CARNE AL HORNO / TORTILLA DE PAPAS,GUISO DE / LENTEJAS,BUDIN DE BANANA
2026-08-24,SOPA DE CALABAZA / POLLO AL HORNO / SALSA DE VERDEO / CON ARROZ A LA MANTECA,BROCHET DE TERNERA / WOK DE VEGETALES,ALFAJORCITOS DE MAICENA
2026-08-25,"OMELETTE DE QUESO Y CEBOLLA / VARIEDAD DE PIZZAS / MOZZARELLA, NAPOLITANA, FUGAZETTA, MARGARITA",ROLLS DE PESCADO / TORTILLA DE VERDURA,ENSALADA DE FRUTAS
2026-08-26,BASTONCITOS DE QUESO AL FILETTO / CARNE A LA PORTUGUESA / PAPA BASTON,BONDIOLA DE CERDO MECHADA / RUEDAS DE CALABAZA,GELATINA BICOLOR
2026-08-27,"SOPA DE VERDURAS / ÑOQUIS, TALLARINES,MOSTACHOLES / SALSAS POMODORO, 4 QUESOS, BECHAMEL",MIL HOJAS / DE POLLO,FLAN
2026-08-28,HUEVOS RELLENOS / MILANESA DE POLLO / PURE DE PAPAS,RAGOUT DE CERDO,ARROLLADO DE DULCE DE LECHE
2026-08-31,OMELLETTE DE JAMON Y QUESO / CARNE AL HORNO / SALSA DE CHAMPIGNONES / PURÉ DE PAPAS,"CHAW FAN INTEGRAL / (Arroz salteado con verduras, salsa de soja, especias)",YOGUR CON CEREALES
