FECHA,OPCION_1,OPCION_2,POSTRE
2026-06-01,SOPA CREMA DE CALABAZA / POLLO AL HORNO / CON ARROZ,BROCHETTE DE CARNE / WOK DE VEGETALES,DURAZNOS EN ALMIBAR
2026-06-02,BUÑUELITOS DE ESPINACAS / MILANESA DE CARNE / PAPAS Y BATATAS,LENTEJAS / A LA ESPAÑOLA,BUDIN DE BANANA
2026-06-03,"OMELETTE DE JAMON Y QUESO / ÑOQUIS,FUSILES,SPAGUETIS / SALSA ESTOFADO,BLANCA,PARISIEN",RAGOUT DE / CERDO,ENSALADA DE FRUTA
2026-06-04,SOPA DE VERDURAS / CARNE A LA CRIOLLA / TORTILLA DE PAPAS,VARIEDAD DE TARTAS / ZAPALLITOS Y JAMON Y QUESO,FLAN
2026-06-05,"HUEVOS RELLENOS / FILET MILANESA,MEDALLON DE PESCADO / PURE MIXTO",RAVIOLES A LA / CARUSSO,GELATINA
2026-06-08,SOPA CREMA DE VERDURAS / COLITA DE CUADRIL AL HORNO / SALSA DE CHAMPIGNONES / PAPAS BASTÓN,"CHAW FAN,ARROZ CON VEGETALES / Y SALSA DE SOJA",ENSALADA DE FRUTAS
2026-06-09,"BASTON DE MOZZARELLA / RAVIOLES,MOSTACHOL,SPAGUETIS / SALSA ROJA,BLANCA,4QUESOS",BONDIOLA BRASEADA / CON ZANAHORIAS GLACEADAS,GELATINA BICOLOR
2026-06-10,BUÑUELITOS DE ARROZ / POLLO AL HORNO / PURÉ DE PAPAS YPURÉ DE CALABA,BROCHET DE CARNE / WOK DE VEGETALE,DURAZNOS EN ALMIBAR
2026-06-11,EMPANADAS DE JAMON Y QUESO / MILANESAS DE CARNE / CON ARROZ BLANCO Y AMARILLO,LOCRO / TRADICIONAL,BUDIN CASERO DE MANZANA
2026-06-12,SOPA CREMA DE CALABAZA / TACOS MEXICANO / CON PAPAS BASTON Y SALSA CHEDDAR,ROLLS DE PESCADO DESPINADO / ACELGA A LA CREMA,FLAN
2026-06-15,FERIADO,,
2026-06-16,"SOPA CREMA DE ZAPALLO / SORRENTINOS,CODITOS,SPAGUETIS / SALSA POMODORO,4QUESOS Y BECHAMEL",MILANESA DE SOJA A LA SUIZA / TORTILLA DE VERDURAS,DURAZNOS EN ALMIBAR
2026-06-17,"BRUSCHETTA CAPRESSE / MILANESA DE TERNERA, opción Napolitana / PURÉ PAPAS, PURÉ DE CALABAZA",MIL HOJAS / DE PESCADO,ENSALADA DE FRUTAS
2026-06-18,"BUÑUELITOS DE ACELGA / VARIEDAD DE PIZZAS / MOZZARELLA, NAPOLITANA, FUGAZZETA",RAGOUT DE / CERDO CON BATATA,CARROT CAKE
2026-06-19,HUEVOS RELLENOS / POLLO AL HORNO CON SALSA DE VERDEO / CON PAPAS Y CALABAZAS ASADAS,LENTEJAS / A LA ESPAÑOLA,YOGUR DE VAINILLA
2026-06-22,SOPA CON FIDEITOS / CARNE AL HORNO / CON ARROZ,CHAW MEIN / (tallarines salteados con vegetales y salsa de soja),YOGUR CON CEREALES
2026-06-23,BRUSCHETTA CAPRESSE / FILET MILANESA Y MEDALLON DE PESCADO / CON PAPAS FRITAS,TARTA DE JAMON Y QUESO / TARTA DE VERDURA,ENSALADA DE FRUTA
2026-06-24,HUEVOS RELLENOS / POLLO AL HORNO / PAPAS Y BATATAS,MATAMBRITO A LA PIZZA / ZANAHORIAS GLACEADAS,GELATINA
2026-06-25,"OMELETTE DE CEBOLLA Y QUESO / RAVIOLES,FUSILES.SPAGUETIS / SALSAS TUCO, PARISIEN Y BECHAMEL",BONDIOLA DE CERDO MECHADA / CON BATATAS,QUESO Y DULCE
2026-06-26,SOPA CREMA DE VERDURAS / MILANESA DE TERNERA / CON PURE DE PAPAS Y CALABAZA,ROLL DE PESCADO / ACELGA A LA CREMA,BUDIN CASERO DE BANANA
2026-06-29,SOPA CREMA DE VERDURAS / CARNE AL HORNO / CON PAPAS Y CALABAZAS AL HORNO,CAZUELA DE / LENTJAS A LA ESPAÑOLA,BUDIN DE MANZANA CASERO
2026-06-30,"BUÑUIELITOS DE ACELGA / FILET MILANESA ,MADALLON DE PESCADO / CON ARROZ PRIMAVERA",BROCHETTE DE TERNERA / TORTILLA DE VERDURAS,FLAN
